Time,Currency,Impact,Event,Actual,Forecast
5:30am,USD,High Impact Expected,Core CPI m/m,,0.2%
5:30am,USD,High Impact Expected,CPI m/m,,0.3%
5:30am,USD,High Impact Expected,CPI y/y,,2.5%
5:30am,USD,High Impact Expected,Unemployment Claims,,216K
5:30am,USD,High Impact Expected,Core PCE Price Index m/m,,0.4%
5:30am,USD,High Impact Expected,Prelim GDP q/q,,1.4%
7:00am,USD,High Impact Expected,JOLTS Job Openings,,6.84M
